subject;body;label
"Anfrage Angebotskonditionen";"Sehr geehrtes Team, wir benötigen ein unverbindliches Angebot für 150 Headsets für unseren Außendienst. Bitte senden Sie uns zusätzlich Informationen zu Lieferzeiten und möglichen Mengenrabatten. Vielen Dank.";Vertrieb
"Preisübersicht für Lizenzverlängerung";"Hallo, wir planen die Verlängerung unserer Softwarelizenzen für das kommende Jahr. Können Sie uns eine aktuelle Preisübersicht inkl. Upgrade-Möglichkeiten zukommen lassen?";Vertrieb
"Rückfrage zur Rabattstaffel";"Guten Tag, ich hätte gern Details zur Rabattstaffel bei Abnahme von über 300 Einheiten Ihres Produkts. Besonders interessiert uns, ab welcher Menge der höchste Rabatt greift.";Vertrieb
"Material für Neukundenaktion";"Hallo Vertriebsteam, für unsere Neukundenaktion benötigen wir Werbematerial, Flyer und digitale Grafiken. Bitte senden Sie uns die verfügbaren Vorlagen.";Vertrieb
"Terminvorschlag für Produktdemo";"Sehr geehrte Damen und Herren, wir möchten eine Live-Demo Ihres CRM-Systems sehen. Haben Sie Termine frei in der nächsten Woche?";Vertrieb
"Angebot für Jahresvertrag";"Hallo, wir planen langfristig mit Ihrem Service. Können Sie uns ein Angebot für einen Jahresvertrag inkl. Service-Level-Agreement erstellen?";Vertrieb
"Anfrage internationale Lieferung";"Guten Tag, wir haben einen neuen Kunden in Österreich und benötigen Informationen zum internationalen Versand Ihrer Produkte.";Vertrieb
"Produktkatalog 2025";"Sehr geehrtes Vertriebsteam, bitte senden Sie uns den vollständigen Produktkatalog 2025 in digitaler Form zu.";Vertrieb
"Lead-Informationen benötigt";"Hallo, wir haben einen vielversprechenden Lead aus dem Energiesektor. Bitte stellen Sie uns alle relevanten Unterlagen bereit, um ein Angebot zu formulieren.";Vertrieb
"Rückfrage zu Testphase";"Guten Tag, wann endet unsere Testphase und welche Optionen haben wir für die Umwandlung in ein kostenpflichtiges Paket?";Vertrieb
"Anforderung Verkaufsunterlagen";"Hallo, ich benötige die aktuellen Präsentationen und Preisblätter für unsere nächsten Kundentermine.";Vertrieb
"Kooperation mit Partnerfirma";"Sehr geehrte Damen und Herren, unsere Partnerfirma interessiert sich für ein gemeinsames Vertriebspaket. Können wir hierzu ein Gespräch planen?";Vertrieb
"Information über Produktneuheiten";"Hallo Vertrieb, wir benötigen eine kurze Übersicht über Ihre neuen Produkte, um diese im nächsten Kundengespräch zu platzieren.";Vertrieb
"Bitte um Angebotsupdate";"Guten Tag, bitte aktualisieren Sie das Angebot vom 4. Januar nach den neuen Anforderungen des Kunden.";Vertrieb
"Support für Ausschreibung";"Hallo, wir nehmen an einer Ausschreibung teil und benötigen detaillierte technische Datenblätter zu Ihren Produkten.";Vertrieb
"Vorbereitung Kundentermin";"Ich brauche dringend Unterlagen zur Preisentwicklung der letzten Jahre für unser Treffen nächste Woche.";Vertrieb
"Vergleich unterschiedlicher Paketpreise";"Sehr geehrtes Team, wir benötigen einen Vergleich Ihrer drei Servicepakete für unseren Entscheidungsprozess.";Vertrieb
"Anfrage Reseller-Konditionen";"Hallo, unser Unternehmen möchte als Reseller auftreten und benötigt Informationen zu Margen und Voraussetzungen.";Vertrieb
"Produktpräsentation für Messe";"Guten Tag, für die bevorstehende Messe benötigen wir eine kompakte Präsentation Ihrer wichtigsten Features.";Vertrieb
"Technische Details zu neuer Version";"Hallo, welche neuen Funktionen bringt Version 4.2 Ihres Systems? Unser Kunde stellt dazu viele Fragen.";Vertrieb
"Kundenfeedback weiterleiten";"Liebe Kolleginnen und Kollegen, hier ein Kundenfeedback zur letzten Lieferung. Wir sollten klären, wie wir die Erwartungen besser erfüllen.";Vertrieb
"Preisverhandlung notwendig";"Hallo, der Kunde fordert einen um 8% reduzierten Preis. Können wir diese Anpassung anbieten?";Vertrieb
"Lieferzeit zu großem Auftrag";"Sehr geehrtes Team, wie lange würde die Lieferung von 120 Monitoren dauern?";Vertrieb
"Neue Produktlinie vorstellen";"Hallo, wir planen eine interne Präsentation Ihrer neuen Produktlinie. Haben Sie dazu fertige Folien?";Vertrieb
"Upselling-Möglichkeiten prüfen";"Guten Tag, welche Add-ons könnten wir dem Kunden zusätzlich anbieten?";Vertrieb
"Broschüren für Kundentermin";"Bitte senden Sie uns aktuelle Broschüren im PDF-Format.";Vertrieb
"Unvollständige Angebotsdetails";"Hallo, uns fehlen Details zur Garantiezeit in Ihrem Angebot. Bitte ergänzen.";Vertrieb
"Anfrage Finanzierungsmöglichkeiten";"Sehr geehrte Damen und Herren, bieten Sie Finanzierungsmodelle an?";Vertrieb
"Informationsmaterial für Präsentation";"Ich benötige alle Materialien für das Meeting mit unserem Neukunden.";Vertrieb
"Einladung zu Verkaufsgespräch";"Können wir für den Kunden ein kurzes Online-Meeting einrichten?";Vertrieb
"Erfolgsauswertung Q1";"Hallo, wir brauchen Verkaufszahlen und Trends für die Q1-Auswertung.";Vertrieb
"Neue Zielgruppe definieren";"Können wir gemeinsam die potenzielle neue Zielgruppe bestimmen?";Vertrieb
"Strategiegespräch zur Angebotserstellung";"Wir benötigen Unterstützung bei der Formulierung eines komplexen Angebots.";Vertrieb
"Reklamation des Kunden analysieren";"Bitte prüfen Sie die Beschwerde des Kunden bezüglich falscher Preisangaben.";Vertrieb
"Verfügbarkeit bestimmter Module";"Sind alle Module der Business-Version sofort lieferbar?";Vertrieb
"Follow-up zum Testzeitraum";"Wie ist der aktuelle Status der Testphase beim Kunden Müller?";Vertrieb
"Request für Wettbewerbsvergleich";"Können Sie eine Marktübersicht der Konkurrenzprodukte erstellen?";Vertrieb
"Kampagnenmaterial benötigt";"Für unsere neue Kampagne benötigen wir Banner und Textbausteine.";Vertrieb
"Preisoptionen für Großkunden";"Bitte senden Sie mir die Tarifstruktur für Großkunden zu.";Vertrieb
"Produktbatch-Nummern anfordern";"Wir brauchen die Chargeninformationen der letzten Lieferung.";Vertrieb
"Zusatzfunktionen erklären";"Der Kunde möchte wissen, ob Automatisierungen möglich sind.";Vertrieb
"Bitte um Testzugang";"Wir benötigen einen kurzfristigen Testzugang für eine Demo.";Vertrieb
"Analyse Kaufverhalten";"Können Sie Auswertungen zum Kaufverhalten der letzten Monate liefern?";Vertrieb
"Anfrage Individualisierung";"Ist eine Anpassung des Produkts an Kundenwünsche möglich?";Vertrieb
"Standardpreise aktualisieren";"Wir brauchen eine aktuelle Preisliste.";Vertrieb
"Dokumentation für Kundeneinsatz";"Bitte senden Sie die technische Dokumentation.";Vertrieb
"Integrationstest anfragen";"Kann Ihr Team einen Integrationstest mit unserem System durchführen?";Vertrieb
"Unterstützung bei Neukundenpitch";"Wir benötigen ein Fact Sheet für den Termin am Freitag.";Vertrieb
"Rückfrage zur Mindestabnahmemenge";"Wie hoch ist die kleinste Bestellmenge für dieses Produkt?";Vertrieb

"Bestellung von 200 Monitoren";"Sehr geehrte Damen und Herren, wir möchten 200 Monitore nachbestellen. Bitte senden Sie uns die voraussichtliche Lieferzeit und Gesamtkosten.";Einkauf
"Lieferstatus erfragen";"Hallo, wie ist der aktuelle Status der Bestellung vom 12. Februar?";Einkauf
"Anfrage zu Lieferverzögerung";"Wir haben gehört, dass es zu Verzögerungen kommen kann. Können Sie dies bestätigen?";Einkauf
"Preisanfrage für Großbestellung";"Bitte erstellen Sie uns ein Angebot für 500 Tastaturen inklusive Staffelpreisen.";Einkauf
"Rückfrage zum Zahlungsziel";"Sehr geehrtes Team, können wir das Zahlungsziel von 14 auf 30 Tage erweitern?";Einkauf
"Vergleich mehrere Anbieter";"Wir benötigen einen Angebotsvergleich von drei möglichen Lieferanten.";Einkauf
"Reklamation wegen beschädigter Ware";"Bei der Lieferung gestern wurden fünf Geräte beschädigt vorgefunden. Bitte klären Sie den Austausch.";Einkauf
"Erneute Bestellung Bürobedarf";"Hallo Einkauf, bitte wie gewohnt 4 Kartons Kopierpapier nachbestellen.";Einkauf
"Rahmenvertrag prüfen";"Können Sie prüfen, wann unser Rahmenvertrag ausläuft?";Einkauf
"Materialanfrage IT-Equipment";"Wir benötigen kurzfristig 20 Dockingstations.";Einkauf
"Kostenstelle angeben";"Für die Bestellung bitte Kostenstelle 4711 verwenden.";Einkauf
"Lieferantenbewertung durchführen";"Bitte führen Sie die reguläre Lieferantenbewertung für Q2 durch.";Einkauf
"Neue Bezugsquelle gesucht";"Wir suchen eine alternative Quelle für SSDs. Haben Sie Vorschläge?";Einkauf
"Rückfrage zu Mindestbestellmenge";"Wie hoch ist die Mindestbestellmenge beim Anbieter XY?";Einkauf
"Anforderung Sicherheitsdatenblätter";"Bitte schicken Sie die Sicherheitsdatenblätter für die neuen Chemieprodukte.";Einkauf
"Liefertermin bestätigen";"Wann erfolgt die nächste Lieferung?";Einkauf
"Angebot für Dienstleistungsvertrag";"Bitte senden Sie uns ein Angebot für den Wartungsservice.";Einkauf
"Rechnungskorrektur nötig";"Die letzte Rechnung enthielt einen falschen Betrag. Bitte korrigieren.";Einkauf
"Budgetprüfung für Bestellung";"Können Sie prüfen, ob noch Budget verfügbar ist?";Einkauf
"Anfrage Teil-Lieferung";"Ist eine Teillieferung der ausstehenden Artikel möglich?";Einkauf
"Bestellnummer fehlt";"Wir haben keine Bestellnummer für den Auftrag erhalten. Bitte nachreichen.";Einkauf
"Verpackungsanforderungen";"Wir benötigen spezielle Verpackung für den Transport sensibler Geräte.";Einkauf
"Angebot überarbeiten";"Bitte überarbeiten Sie das Angebot nach den neuen Spezifikationen.";Einkauf
"Alternative Produkte prüfen";"Gibt es günstigere Alternativen zum aktuellen Produkt?";Einkauf
"Rückfrage Garantiebedingungen";"Wie lange gilt die Garantie für diese Geräte?";Einkauf
"Anfrage Werkslieferung";"Können Sie direkt ins Werk liefern?";Einkauf
"Neue Lieferadresse";"Bitte künftig an die neue Adresse in der Industriestraße liefern.";Einkauf
"Fehlende Lieferscheine";"Uns fehlen die Lieferscheine der letzten beiden Lieferungen.";Einkauf
"Bitte um Tracking-Informationen";"Wir benötigen die Tracking-Nummern aller laufenden Bestellungen.";Einkauf
"Kostenvoranschlag anfordern";"Bitte senden Sie einen Kostenvoranschlag für 300 Einheiten.";Einkauf
"Defektes Gerät melden";"Ein geliefertes Gerät funktioniert nicht. Bitte um Austausch.";Einkauf
"Lieferengpass klären";"Wir haben Hinweise auf Engpässe. Bitte prüfen.";Einkauf
"Jahresbedarf melden";"Unser Jahresbedarf liegt bei ca. 1200 Einheiten. Bitte Angebot erstellen.";Einkauf
"Konditionen neu verhandeln";"Wir möchten die Konditionen für 2025 neu verhandeln.";Einkauf
"Rückstandsmeldung erhalten";"Uns wurde eine Rückstandsmeldung übermittelt. Bitte prüfen.";Einkauf
"Qualitätszertifikate anfordern";"Für die nächste Lieferung benötigen wir die entsprechenden Zertifikate.";Einkauf
"Rückfrage Lieferantenwechsel";"Können wir den Lieferanten wechseln, ohne Preisverlust?";Einkauf
"Preisupdate anfragen";"Bitte senden Sie die aktualisierte Preisliste.";Einkauf
"Anfrage Lieferterminänderung";"Wir möchten den Liefertermin auf nächste Woche verschieben.";Einkauf
"Ersatzlieferung notwendig";"Einige Artikel wurden falsch geliefert. Bitte neue Lieferung veranlassen.";Einkauf
"Stornierung einer Bestellung";"Wir möchten Bestellung #10283 stornieren.";Einkauf
"Abholung organisieren";"Kann der Spediteur beschädigte Ware abholen?";Einkauf
"Anfrage Verpackungsmaterial";"Wir benötigen zusätzliches Verpackungsmaterial zur Kommissionierung.";Einkauf
"Betriebsmittel nachbestellen";"Bitte 30 Einheiten Reinigungslösung bestellen.";Einkauf
"Kostenanfrage Expressversand";"Wie teuer wäre Expressversand für 50 Geräte?";Einkauf
"Freigabe für Bestellung";"Ist die Bestellung durch die Abteilung bereits freigegeben?";Einkauf
"Neue Rahmenbedingungen prüfen";"Wir benötigen ein Update zu den aktuellen Lieferbedingungen.";Einkauf
"Rücksprache zu Mengenkonfiguration";"Bitte prüfen, ob die bestellte Menge korrekt ist.";Einkauf
"Angebot für Ersatzteile";"Wir benötigen Preise für Ersatzteile der Serie X12.";Einkauf
